seed,start_dp,end_dp,band_dp,lower_z_m,upper_z_m,conductance_m3_s,pore_count,throat_count,source_count,sink_count,active_pores,spanning,final_uptake_mol_kg,t50_final_uptake_s,underutilized_particle_fraction
105019,0.0,5.0,0.5,9.788123256441657e-05,0.008097881232564417,3.090037997163818e-08,2014,3747,31,225,2014,True,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,0.0,5.0,1.0,9.788123256441657e-05,0.008097881232564417,5.9546559329498495e-08,2014,3747,239,437,2014,True,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,0.0,5.0,1.5,9.788123256441657e-05,0.008097881232564417,7.895728797636804e-08,2014,3747,432,669,2014,True,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,5.0,10.0,0.5,0.008097881232564417,0.016097881232564417,4.565143911542719e-08,2210,4107,215,198,2210,True,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,5.0,10.0,1.0,0.008097881232564417,0.016097881232564417,5.965345852803944e-08,2210,4107,442,442,2210,True,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,5.0,10.0,1.5,0.008097881232564417,0.016097881232564417,8.468029971340912e-08,2210,4107,667,660,2210,True,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,10.0,15.0,0.5,0.016097881232564417,0.024097881232564417,4.292143041814222e-08,2232,4147,230,218,2232,True,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,10.0,15.0,1.0,0.016097881232564417,0.024097881232564417,5.607574630434963e-08,2232,4147,435,449,2232,True,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,10.0,15.0,1.5,0.016097881232564417,0.024097881232564417,8.032109835603595e-08,2232,4147,656,670,2232,True,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,15.0,20.0,0.5,0.024097881232564417,0.032097881232564414,4.572209930762829e-08,2199,4079,237,220,2199,True,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,15.0,20.0,1.0,0.024097881232564417,0.032097881232564414,6.094575513388113e-08,2199,4079,440,450,2199,True,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,15.0,20.0,1.5,0.024097881232564417,0.032097881232564414,9.006298279637865e-08,2199,4079,661,673,2199,True,0.2055532556608265,1625.1806434834598,0.9432432432432432
