seed,source,sink_start_dp,conductance_m3_s,spanning,source_count,final_uptake_mol_kg,t50_final_uptake_s,underutilized_particle_fraction
105019,hull_inlet,3,3.1179151979129e-08,True,12,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,hull_inlet,4,2.7042022686852928e-08,True,12,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,hull_inlet,5,2.3268374969567255e-08,True,12,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,hull_inlet,7,1.9018030502493907e-08,True,12,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,hull_inlet,10,1.4365910381543257e-08,True,12,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,full_1dp_band,3,8.29888120939838e-08,True,239,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,full_1dp_band,4,5.9546559329498495e-08,True,239,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,full_1dp_band,5,4.447292122851282e-08,True,239,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,full_1dp_band,7,3.121340301891436e-08,True,239,0.2055532556608265,1625.1806434834598,0.9432432432432432
105019,full_1dp_band,10,2.040597782575301e-08,True,239,0.2055532556608265,1625.1806434834598,0.9432432432432432
113117,hull_inlet,3,4.308306114352799e-08,True,22,0.281763344934014,1438.792407434643,0.9081081081081082
113117,hull_inlet,4,3.527250520232503e-08,True,22,0.281763344934014,1438.792407434643,0.9081081081081082
113117,hull_inlet,5,2.937694508018148e-08,True,22,0.281763344934014,1438.792407434643,0.9081081081081082
113117,hull_inlet,7,2.2336089900550022e-08,True,22,0.281763344934014,1438.792407434643,0.9081081081081082
113117,hull_inlet,10,1.6450712975184662e-08,True,22,0.281763344934014,1438.792407434643,0.9081081081081082
113117,full_1dp_band,3,8.370191956327441e-08,True,282,0.281763344934014,1438.792407434643,0.9081081081081082
113117,full_1dp_band,4,5.8495995979899996e-08,True,282,0.281763344934014,1438.792407434643,0.9081081081081082
113117,full_1dp_band,5,4.419986098863606e-08,True,282,0.281763344934014,1438.792407434643,0.9081081081081082
113117,full_1dp_band,7,2.994867507071012e-08,True,282,0.281763344934014,1438.792407434643,0.9081081081081082
113117,full_1dp_band,10,2.0250254667974617e-08,True,282,0.281763344934014,1438.792407434643,0.9081081081081082
121021,hull_inlet,3,4.381123423907339e-08,True,17,0.2685458230112915,1570.855756232908,0.92
121021,hull_inlet,4,3.485296865720309e-08,True,17,0.2685458230112915,1570.855756232908,0.92
121021,hull_inlet,5,2.94045102535759e-08,True,17,0.2685458230112915,1570.855756232908,0.92
121021,hull_inlet,7,2.1879940651946948e-08,True,17,0.2685458230112915,1570.855756232908,0.92
121021,hull_inlet,10,1.621600062331647e-08,True,17,0.2685458230112915,1570.855756232908,0.92
121021,full_1dp_band,3,8.529493397172747e-08,True,282,0.2685458230112915,1570.855756232908,0.92
121021,full_1dp_band,4,5.816883344029385e-08,True,282,0.2685458230112915,1570.855756232908,0.92
121021,full_1dp_band,5,4.456998952440912e-08,True,282,0.2685458230112915,1570.855756232908,0.92
121021,full_1dp_band,7,2.9331099187150502e-08,True,282,0.2685458230112915,1570.855756232908,0.92
121021,full_1dp_band,10,1.9981234919940928e-08,True,282,0.2685458230112915,1570.855756232908,0.92
129121,hull_inlet,3,3.605976533317715e-08,True,15,0.226316329052256,1564.1500630764972,0.9416216216216216
129121,hull_inlet,4,2.9047563263407923e-08,True,15,0.226316329052256,1564.1500630764972,0.9416216216216216
129121,hull_inlet,5,2.5151376385711976e-08,True,15,0.226316329052256,1564.1500630764972,0.9416216216216216
129121,hull_inlet,7,1.960245904577747e-08,True,15,0.226316329052256,1564.1500630764972,0.9416216216216216
129121,hull_inlet,10,1.4856881766444332e-08,True,15,0.226316329052256,1564.1500630764972,0.9416216216216216
129121,full_1dp_band,3,8.384276191749268e-08,True,228,0.226316329052256,1564.1500630764972,0.9416216216216216
129121,full_1dp_band,4,5.534098292540759e-08,True,228,0.226316329052256,1564.1500630764972,0.9416216216216216
129121,full_1dp_band,5,4.2811405639659084e-08,True,228,0.226316329052256,1564.1500630764972,0.9416216216216216
129121,full_1dp_band,7,2.891285095316511e-08,True,228,0.226316329052256,1564.1500630764972,0.9416216216216216
129121,full_1dp_band,10,1.965223208250906e-08,True,228,0.226316329052256,1564.1500630764972,0.9416216216216216
137077,hull_inlet,3,3.693146661151926e-08,True,22,0.2521114080676108,1433.412000714692,0.9237837837837838
137077,hull_inlet,4,3.047063452988706e-08,True,22,0.2521114080676108,1433.412000714692,0.9237837837837838
137077,hull_inlet,5,2.598631810884008e-08,True,22,0.2521114080676108,1433.412000714692,0.9237837837837838
