descriptor,start_dp,band_dp,target,n,spearman_rho,p_unadjusted
tortuosity_raw,,,final_uptake_mol_kg,20,-0.4586466165413533,0.04195431160933542
tortuosity_raw,,,t50_final_uptake_s,20,-0.10977443609022557,0.6450049409876997
tortuosity_raw,,,underutilized_particle_fraction,20,0.4279804740420139,0.05976979797789996
original_G_access_m3_s,,,final_uptake_mol_kg,20,0.9684210526315788,2.6449829899729473e-12
original_G_access_m3_s,,,t50_final_uptake_s,20,-0.41503759398496237,0.06880769728594098
original_G_access_m3_s,,,underutilized_particle_fraction,20,-0.9590072133630365,2.674647208881681e-11
translated_slab,0.0,0.5,final_uptake_mol_kg,20,0.12781954887218044,0.5912462398946646
translated_slab,0.0,0.5,t50_final_uptake_s,20,0.5082706766917292,0.022124780463792442
translated_slab,0.0,0.5,underutilized_particle_fraction,20,-0.10755924040071703,0.6517298655038586
translated_slab,0.0,1.0,final_uptake_mol_kg,20,-0.06466165413533834,0.7865148626867856
translated_slab,0.0,1.0,t50_final_uptake_s,20,0.1969924812030075,0.40515233009814566
translated_slab,0.0,1.0,underutilized_particle_fraction,20,0.08048138967046659,0.7358936167877855
translated_slab,0.0,1.5,final_uptake_mol_kg,20,-0.08421052631578946,0.7241036435108112
translated_slab,0.0,1.5,t50_final_uptake_s,20,0.24360902255639094,0.3006681944004437
translated_slab,0.0,1.5,underutilized_particle_fraction,20,0.13990222877296063,0.5563436091290481
translated_slab,5.0,0.5,final_uptake_mol_kg,20,0.1533834586466165,0.5185244542213634
translated_slab,5.0,0.5,t50_final_uptake_s,20,0.19248120300751878,0.4162064734197989
translated_slab,5.0,0.5,underutilized_particle_fraction,20,-0.18653630503061416,0.4310185051186056
translated_slab,5.0,1.0,final_uptake_mol_kg,20,-0.048120300751879695,0.8403389659546905
translated_slab,5.0,1.0,t50_final_uptake_s,20,0.26165413533834586,0.265124109510353
translated_slab,5.0,1.0,underutilized_particle_fraction,20,0.006769462682562611,0.9774031102603566
translated_slab,5.0,1.5,final_uptake_mol_kg,20,0.018045112781954885,0.9398091995407436
translated_slab,5.0,1.5,t50_final_uptake_s,20,0.34736842105263155,0.13344922901624715
translated_slab,5.0,1.5,underutilized_particle_fraction,20,-0.048890563818507746,0.8378154710640654
translated_slab,10.0,0.5,final_uptake_mol_kg,20,0.20751879699248119,0.37999323699324683
translated_slab,10.0,0.5,t50_final_uptake_s,20,0.29624060150375936,0.20471829742862183
translated_slab,10.0,0.5,underutilized_particle_fraction,20,-0.20383604299716301,0.3886937120989653
translated_slab,10.0,1.0,final_uptake_mol_kg,20,0.431578947368421,0.05742465038435194
translated_slab,10.0,1.0,t50_final_uptake_s,20,0.1518796992481203,0.5226819111403139
translated_slab,10.0,1.0,underutilized_particle_fraction,20,-0.40842424851461084,0.07380367692111463
translated_slab,10.0,1.5,final_uptake_mol_kg,20,0.33533834586466166,0.14835729861849292
translated_slab,10.0,1.5,t50_final_uptake_s,20,0.22556390977443608,0.33897093917086685
translated_slab,10.0,1.5,underutilized_particle_fraction,20,-0.30161717063417853,0.19622970282553034
translated_slab,15.0,0.5,final_uptake_mol_kg,20,-0.28421052631578947,0.22458459821120463
translated_slab,15.0,0.5,t50_final_uptake_s,20,0.09924812030075188,0.6771888443218218
translated_slab,15.0,0.5,underutilized_particle_fraction,20,0.2858217577081991,0.22185345666864525
translated_slab,15.0,1.0,final_uptake_mol_kg,20,-0.29624060150375936,0.20471829742862183
translated_slab,15.0,1.0,t50_final_uptake_s,20,0.22105263157894736,0.3489737543021465
translated_slab,15.0,1.0,underutilized_particle_fraction,20,0.2745393199039281,0.24143814333722063
translated_slab,15.0,1.5,final_uptake_mol_kg,20,-0.3233082706766917,0.16438973703865012
translated_slab,15.0,1.5,t50_final_uptake_s,20,0.0015037593984962405,0.9949797739432688
translated_slab,15.0,1.5,underutilized_particle_fraction,20,0.2993606830733243,0.199763089215814
