seed,case_qa_pass,solver_success,physical_bounds_ok_metadata,completed_to_t_end,mass_balance_ok,timeseries_mean_bounds_ok,uptake_monotonic_ok,practical_equilibrium_reached,error,atol,axial_loading_bin_cv,axial_loading_bottom_minus_top_over_mean,b_pa,diffusivity,end_adsorption_rate_mol_s,end_relative_uptake_rate_per_s,final_adsorbed_inventory_mol,final_gas_inventory_mol,final_mean_gas_concentration_mol_m3,final_relative_mass_balance_error,final_reservoir_input_mol,final_time_s,final_total_inventory_mol,final_uptake_mol_kg,initial_concentration,initial_loading,inlet_concentration,inlet_equilibrium_loading_mol_kg,k_ldf,late_uptake_fraction,max_step,maximum_absolute_mass_balance_residual_mol,maximum_adsorption_rate_mol_s,maximum_relative_mass_balance_error,metadata_file,minimum_mean_gas_concentration_mol_m3,minimum_mean_loading_mol_kg,mode,network_analytic_porosity,network_degree_cv,network_directory,network_geometric_tortuosity,network_inlet_pores,network_largest_component_fraction,network_mean_degree,network_mean_pore_volume_m3,network_mean_throat_length_m,network_mean_throat_radius_m,network_median_pore_volume_m3,network_median_throat_radius_m,network_minimum_throat_radius_m,network_outlet_pores,network_pore_count,network_pore_volume_cv,network_ready_for_transport,network_shortest_inlet_outlet_path_m,network_throat_count,network_throat_radius_p10_m,network_total_pore_volume_m3,normalized_uptake_auc,particle_count,particle_density,particle_loading_cv,particle_loading_max_mol_kg,particle_loading_mean_unweighted_mol_kg,particle_loading_min_mol_kg,particle_loading_std_mol_kg,pore_count,qsat,result_directory,rhs_evaluations,rtol,t10_final_uptake_s,t50_final_uptake_s,t90_final_uptake_s,t95_final_uptake_s,t_end,temperature,throat_count,time_of_maximum_rate_s,toth_exponent,underutilized_loading_threshold_mol_kg,underutilized_particle_fraction
105019,True,True,True,True,True,True,True,False,,1e-10,1.8774566111261253,5.828165425960987,5.093e-05,1.5e-05,1.7066811238882204e-07,0.0001307909649922995,0.0013048922178903596,1.2812425006398793e-06,0.3979107756764082,6.474466984542287e-15,0.001306173460391008,5000.0,0.0013061734603909995,0.20555325566082652,0.0,0.0,6.05,2.309036967044178,0.00855,0.06586143885660264,,8.456776945386935e-18,1.5590017351395307e-06,7.390810132483414e-15,co2_adsorption_campaign_finite_inlet_5000s/seed_105019/run_metadata.json,0.0,0.0,adsorption,0.44828252181082967,0.09977309037673354,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_105019,1.1346179383751798,12,1.0,3.8540955631399316,3.434219401697864e-10,0.0006839919966878802,0.00028705579065862595,2.5031261678241287e-10,0.00027927983403891053,0.00012328400498705068,16,9376,0.9944186026539746,True,0.03900632916884839,18068,0.00013897709447053175,3.2199241110319172e-06,0.6185948044670861,1850,1600.0,2.033818623624015,2.1983809901205142,0.20555325566082672,1.8549182995918855e-08,0.4180580395095379,9376,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_105019,692,1e-06,109.91785384019852,1625.1806434834598,4246.573951104598,4619.163808561901,5000.0,298.15,18068,0.6017880726892569,1.0,1.154518483522089,0.9432432432432433
113117,True,True,True,True,True,True,True,False,,1e-10,1.8215522488724154,5.502633086252249,5.093e-05,1.5e-05,2.1206287034943051e-07,0.00011855772573870246,0.0017886887508015334,1.8084148308756378e-06,0.5569672953022358,9.68850165905781e-15,0.0017904971656324264,5000.0,0.001790497165632409,0.28176334493401406,0.0,0.0,6.05,2.309036967044178,0.00855,0.05982496300907988,,1.734723475976807e-17,2.50850729763025e-06,9.68850165905781e-15,co2_adsorption_campaign_finite_inlet_5000s/seed_113117/run_metadata.json,0.0,0.0,adsorption,0.4503219317936816,0.09852986833314174,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_113117,1.1041370737478235,22,1.0,3.8568232662192394,3.458928204931635e-10,0.0006869718205514743,0.0002856575962230501,2.494529516489862e-10,0.00027601129627041765,0.00012333057315905705,22,9387,1.024422431110426,True,0.038527842530433024,18102,0.00013819086748486124,3.246895905969326e-06,0.6411464994799476,1850,1600.0,1.8478335620220132,2.2690398897985182,0.28176334493401417,3.211579121137121e-08,0.5206517653166566,9387,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_113117,732,1e-06,89.70601786613436,1438.7924074346433,4174.253876955681,4581.016491270986,5000.0,298.15,18102,0.6017880726892569,1.0,1.154518483522089,0.9081081081081082
121021,True,True,True,True,True,True,True,False,,1e-10,1.7956094294809561,5.435254592409395,5.093e-05,1.5e-05,2.1216163704111654e-07,0.00012445093812485725,0.0017047813398422295,1.7109491463488285e-06,0.5312886298212687,5.463920782731233e-15,0.0017064922889885876,5000.0,0.0017064922889885783,0.26854582301129154,0.0,0.0,6.05,2.309036967044178,0.00855,0.06279280827607962,,1.0191500421363742e-17,1.9256013468402044e-06,6.946870425005416e-15,co2_adsorption_campaign_finite_inlet_5000s/seed_121021/run_metadata.json,0.0,0.0,adsorption,0.4482225253014753,0.10257135226717483,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_121021,1.0943337985298265,17,1.0,3.850192061459667,3.436167294418882e-10,0.0006800853545914757,0.0002880379698937758,2.5199041401208854e-10,0.00028208347864192517,0.0001231791237173473,20,9372,1.0372259545087072,True,0.03760204292614147,18042,0.0001398217131529805,3.2203759883293766e-06,0.6249892145256121,1850,1600.0,1.8516556176726797,2.2441677150654447,0.26854582301129165,4.6934215240997167e-08,0.49725438178139136,9372,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_121021,729,1e-06,114.79443565229484,1570.855756232908,4212.287798859221,4600.5171606997155,5000.0,298.15,18042,0.6400286701838844,1.0,1.154518483522089,0.92
129121,True,True,True,True,True,True,True,False,,1e-10,1.8662793288010961,5.78100277145006,5.093e-05,1.5e-05,1.8428637078143697e-07,0.00012827057631238217,0.0014367002634543204,1.4284618874048588e-06,0.45251579067769315,1.9601344433145085e-15,0.001438128725341728,5000.0,0.0014381287253417252,0.226316329052256,0.0,0.0,6.05,2.309036967044178,0.00855,0.06460845334053834,,3.903127820947816e-18,1.91798087588581e-06,3.61493933086613e-15,co2_adsorption_campaign_finite_inlet_5000s/seed_129121/run_metadata.json,0.0,0.0,adsorption,0.4434945160551283,0.09981866539804715,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_129121,1.117284538993348,15,1.0,3.85283139596886,3.3664409644332634e-10,0.0006776758256752357,0.0002828898946868093,2.4627184729630825e-10,0.00027572767880195944,0.0001233076801261412,23,9377,0.9973460917644058,True,0.038685265301391825,18064,0.0001403099983606753,3.156711692349071e-06,0.6263643073641829,1850,1600.0,1.9669842234401962,2.2677196155735215,0.22631632905225618,1.483559377582395e-08,0.445160648752688,9377,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_129121,707,1e-06,96.02064780281552,1564.1500630764972,4232.428069333694,4611.837955481278,5000.0,298.15,18064,0.6017880726892569,1.0,1.154518483522089,0.9416216216216217
137077,True,True,True,True,True,True,True,False,,1e-10,1.8548921346226628,5.720956327742584,5.093e-05,1.5e-05,1.9238576149035597e-07,0.0001202071075915817,0.0016004524636264441,1.5810867585688144e-06,0.5045837945958501,2.328075758746623e-14,0.0016020335503849755,5000.0,0.0016020335503850128,0.2521114080676108,0.0,0.0,6.05,2.309036967044178,0.00855,0.06060345007644879,,3.729655473350135e-17,2.426295236862073e-06,2.3445911615523736e-14,co2_adsorption_campaign_finite_inlet_5000s/seed_137077/run_metadata.json,0.0,0.0,adsorption,0.44153612435641787,0.1000434833959976,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_137077,1.1598021331914048,22,1.0,3.8532090431801134,3.357384934101072e-10,0.0006822901691069384,0.0002792301453220795,2.438274928290878e-10,0.0002705832327935424,0.00012331238487884807,10,9333,1.0343002236364913,True,0.03905173607633216,17981,0.00013895095824110115,3.1334473589965304e-06,0.6418392957024157,1850,1600.0,1.9331984347311595,2.2535687984822323,0.2521114080676108,1.2179380727816691e-08,0.4873813794541738,9333,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_137077,668,1e-06,82.66694973816813,1433.412000714692,4183.704645595608,4586.424055701495,5000.0,298.15,17981,0.5658322842428334,1.0,1.154518483522089,0.9237837837837838
145093,True,True,True,True,True,True,True,False,,1e-10,1.8210902303698022,5.573163977322034,5.093e-05,1.5e-05,2.1004664873052833e-07,0.00012139327382608783,0.0017302989046283435,1.791354741317395e-06,0.5603215793585989,1.594921004000338e-13,0.0017320902593693846,5000.0,0.0017320902593696609,0.2725654795364886,0.0,0.0,6.05,2.309036967044178,0.00855,0.06126060323068651,,2.7625471354930653e-16,2.3579401523311076e-06,1.6016757679631517e-13,co2_adsorption_campaign_finite_inlet_5000s/seed_145093/run_metadata.json,0.0,0.0,adsorption,0.44666858828097594,0.09912161605765793,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_145093,1.1204458330812745,21,1.0,3.8551496431994887,3.405061105492334e-10,0.0006809648021213259,0.0002857539880202368,2.476419035717521e-10,0.0002783169356888422,0.00012332516588626444,14,9389,1.0175345415327268,True,0.03905631227511102,18098,0.00014012836933461972,3.197011871946752e-06,0.6349363426905983,1850,1600.0,1.8664979982184426,2.259932207604528,0.2725654795364886,3.123953460975094e-08,0.5087429219383058,9389,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_145093,693,1e-06,93.05952500348155,1495.9542432677063,4193.2173624449315,4590.668389661026,5000.0,298.15,18098,0.6400286701838844,1.0,1.154518483522089,0.9124324324324324
153133,True,True,True,True,True,True,True,False,,1e-10,1.847607274490756,5.6518574459855,5.093e-05,1.5e-05,1.9746393436937249e-07,0.00012551056021001136,0.0015732854194815532,1.585618035805416e-06,0.4921760068759399,7.572825719203694e-15,0.0015748710375173705,5000.0,0.0015748710375173586,0.24783191716859088,0.0,0.0,6.05,2.309036967044178,0.00855,0.0632904793134036,,1.2576745200831851e-17,1.9925665628851785e-06,8.61935905420321e-15,co2_adsorption_campaign_finite_inlet_5000s/seed_153133/run_metadata.json,0.0,0.0,adsorption,0.4485407451820323,0.09844663358328265,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_153133,1.1074687380931814,18,1.0,3.8565949286170893,3.4323975934111963e-10,0.000684321596104712,0.00028608200380718184,2.485725115886912e-10,0.00027760983235086895,0.00012334728855398517,11,9386,1.0392246761138344,True,0.03886309951934787,18099,0.00014004208707551398,3.221648381175749e-06,0.6261636200303969,1850,1600.0,1.9189755618514241,2.267632358852786,0.24783191716859082,2.0443940657926613e-08,0.47558339249331216,9386,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_153133,744,1e-06,102.3083375268673,1566.767374887859,4217.812024579349,4603.69429646595,5000.0,298.15,18099,0.6017880726892569,1.0,1.154518483522089,0.9248648648648649
161123,True,True,True,True,True,True,True,False,,1e-10,1.8039729337163133,5.533891351426774,5.093e-05,1.5e-05,1.966328500813317e-07,0.00012523784313787017,0.0015700753474719709,1.5886473546763939e-06,0.4964497620617041,2.4282490784997075e-14,0.0015716639948266092,5000.0,0.0015716639948266473,0.2473262503070457,0.0,0.0,6.05,2.309036967044178,0.00855,0.06311732385589311,,3.8163916471489756e-17,1.9936640918243366e-06,2.4282490784997075e-14,co2_adsorption_campaign_finite_inlet_5000s/seed_161123/run_metadata.json,0.0,0.0,adsorption,0.44675521948994823,0.09919516937749566,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_161123,1.0641305172629836,18,1.0,3.8533404596472476,3.4206481541829526e-10,0.0006821606449946016,0.00028521321325818545,2.496524002250957e-10,0.0002766239170089906,0.00012330228912075213,21,9355,1.0192806003367716,True,0.03772169693005895,18024,0.000139418176430527,3.200016348238152e-06,0.6291902982667605,1850,1600.0,1.8989776781001906,2.2803534719380774,0.2473262503070457,2.7741848884436426e-08,0.46966702854130016,9355,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_161123,715,1e-06,100.61482059163247,1536.4124696337406,4215.202512536096,4602.7083657786625,5000.0,298.15,18024,0.6017880726892569,1.0,1.154518483522089,0.9302702702702703
18427,True,True,True,True,True,True,True,False,,1e-10,1.7927142235520852,5.478135434671535,5.093e-05,1.5e-05,2.1640333735473585e-07,0.00011989729516914327,0.0018049059159295309,1.8475606543918793e-06,0.5699807197633043,7.561046678679414e-15,0.0018067534765839092,5000.0,0.0018067534765839229,0.2843179552259188,0.0,0.0,6.05,2.309036967044178,0.00855,0.060531633800042214,,1.431146867680866e-17,2.4001816229547136e-06,9.458389289072014e-15,co2_adsorption_campaign_finite_inlet_5000s/seed_18427/run_metadata.json,0.0,0.0,adsorption,0.4499378234869928,0.10171250184946562,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_18427,1.118332369100862,20,1.0,3.853144620623603,3.4494456987986265e-10,0.0006812316648366526,0.00028525464702795414,2.493354624107897e-10,0.00027759837725365116,0.00012329008037976856,11,9397,1.0641037972525038,True,0.03895475200709248,18104,0.00014005049773666955,3.2414441231610693e-06,0.6356484772115661,1850,1600.0,1.8385697953235416,2.2658646982036714,0.28431795522591896,2.4778372119679546e-08,0.5227384047465257,9397,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_18427,695,1e-06,95.76510381595436,1488.6262000931727,4184.178570284866,4585.766683823066,5000.0,298.15,18104,0.6017880726892569,1.0,1.154518483522089,0.9054054054054054
27183,True,True,True,True,True,True,True,False,,1e-10,1.7668471806863277,5.323640116532122,5.093e-05,1.5e-05,2.2615089818530378e-07,0.00011315214232522947,0.001998644422792153,2.0640056812530924e-06,0.6504428598047701,1.9487052469873163e-13,0.002000708428473016,5000.0,0.002000708428473406,0.31483662970836973,0.0,0.0,6.05,2.309036967044178,0.00855,0.057179006477713824,,3.898791012257874e-16,2.7044780054273254e-06,1.978740770553497e-13,co2_adsorption_campaign_finite_inlet_5000s/seed_27183/run_metadata.json,0.0,0.0,adsorption,0.4447510275308164,0.10165725936489052,/home/khalifa/Projects/CO2bed/co2_pore_networks_power22/seed_27183,1.0992363509357042,23,1.0,3.8513527964923537,3.393467394901544e-10,0.0006822949272002799,0.0002853011806398229,2.501920336756794e-10,0.00027818047413805276,0.0001231702942826574,8,9351,0.98093914591674,True,0.0382073645756895,18007,0.00013921102092425105,3.1732313609724334e-06,0.6472383513224237,1850,1600.0,1.7925516897991711,2.2676884871085705,0.31483662970837006,3.230876133278809e-08,0.5643609325944147,9351,5.332,co2_adsorption_campaign_finite_inlet_5000s/seed_27183,730,1e-06,92.39294419928038,1388.936035691538,4139.106497771732,4561.809145862861,5000.0,298.15,18007,0.6017880726892569,1.0,1.154518483522089,0.8848648648648648
